Date : 2024-11-12 21:56:30
Directory : d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql
Total : 252 files,  20841 codes, 94 comments, 2152 blanks, all 23087 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\LoadingOverlay\LoadingOverlay.styled.ts                                                     | TypeScript         |         13 |          0 |          2 |         15 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\LoadingOverlay\LoadingOverlay.tsx                                                           | TypeScript JSX     |          8 |          0 |          3 |         11 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\LoadingSpinner\LoadingSpinner.styled.ts                                                     | TypeScript         |         23 |          0 |          4 |         27 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\LoadingSpinner\LoadingSpinner.tsx                                                           | TypeScript JSX     |         13 |          0 |          4 |         17 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\MessageModalButton\MessageModalButton.styled.ts                                             | TypeScript         |         83 |          6 |         13 |        102 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\MessageModalButton\MessageModalButton.tsx                                                   | TypeScript JSX     |         53 |          1 |          9 |         63 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\Dropdown\Dropdown.styled.ts                                                          | TypeScript         |         18 |          0 |          3 |         21 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\Dropdown\Dropdown.tsx                                                                | TypeScript JSX     |         23 |          0 |          5 |         28 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\LoginButton\LoginButton.styled.ts                                                    | TypeScript         |         16 |          0 |          3 |         19 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\LoginButton\LoginButton.tsx                                                          | TypeScript JSX     |         16 |          0 |          5 |         21 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\NavBar.styled.ts                                                                     | TypeScript         |        152 |          0 |         27 |        179 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\NavBar.tsx                                                                           | TypeScript JSX     |        123 |          1 |          8 |        132 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\Notifications\NotificationItem\NotificationItem.styled.ts                            | TypeScript         |         59 |          0 |         10 |         69 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\Notifications\NotificationItem\NotificationItem.tsx                                  | TypeScript JSX     |         90 |          0 |         11 |        101 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\Notifications\Notifications.styled.ts                                                | TypeScript         |         23 |          0 |          3 |         26 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\Notifications\Notifications.tsx                                                      | TypeScript JSX     |        141 |          1 |         17 |        159 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\ShoppingCart\ShoppingCart.styled.ts                                                  | TypeScript         |         87 |          0 |         17 |        104 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\ShoppingCart\ShoppingCart.tsx                                                        | TypeScript JSX     |         97 |          0 |          9 |        106 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\UserProfileNavBtn\UserProfileNavBtn.styled.ts                                        | TypeScript         |         79 |          0 |         14 |         93 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\NavBar\UserProfileNavBtn\UserProfileNavBtn.tsx                                              | TypeScript JSX     |         89 |          0 |          7 |         96 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Navigation.tsx                                                                              | TypeScript JSX     |        119 |          0 |          7 |        126 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Pagination\Pagination.styled.ts                                                             | TypeScript         |         33 |          0 |          6 |         39 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Pagination\Pagination.tsx                                                                   | TypeScript JSX     |         68 |          0 |         14 |         82 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\ProfilePicture\ProfilePicture.styled.ts                                                     | TypeScript         |         13 |          0 |          2 |         15 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\ProfilePicture\ProfilePicture.tsx                                                           | TypeScript JSX     |         32 |          0 |          6 |         38 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\ProtectedRoute\ProtectedRoute.tsx                                                           | TypeScript JSX     |         64 |          0 |         18 |         82 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\RegisterForm\RegisterLoginForm.styled.ts                                                    | TypeScript         |        173 |          0 |         29 |        202 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\RegisterForm\RegisterLoginForm.tsx                                                          | TypeScript JSX     |        160 |          0 |         15 |        175 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\SearchBar\SearchBar.styled.ts                                                               | TypeScript         |         54 |          0 |         11 |         65 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\SearchBar\SearchBar.tsx                                                                     | TypeScript JSX     |         59 |          0 |          9 |         68 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\TitleBanner\TitleBanner.styled.ts                                                           | TypeScript         |         11 |          0 |          3 |         14 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\TitleBanner\TitleBanner.tsx                                                                 | TypeScript JSX     |         13 |          0 |          4 |         17 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Title\Title.styled.ts                                                                       | TypeScript         |         43 |          0 |          5 |         48 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\Title\Title.tsx                                                                             | TypeScript JSX     |         30 |          0 |          3 |         33 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\TutorialDetail\TutorialDetail.styled.ts                                                     | TypeScript         |          4 |          0 |          2 |          6 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\TutorialDetail\TutorialDetail.tsx                                                           | TypeScript JSX     |         32 |          0 |          7 |         39 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\UserList\UserList.styled.ts                                                                 | TypeScript         |         74 |          0 |         14 |         88 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\components\UserList\UserList.tsx                                                                       | TypeScript JSX     |         88 |          0 |          5 |         93 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\context\UserContext.tsx                                                                                | TypeScript JSX     |        166 |          1 |         22 |        189 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\hooks\useAuthForm.ts                                                                                   | TypeScript         |        170 |          0 |         25 |        195 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\hooks\useDeleteComment.ts                                                                              | TypeScript         |         50 |          0 |          7 |         57 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\hooks\useLoadComments.ts                                                                               | TypeScript         |         84 |          0 |          7 |         91 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\hooks\useLoadInitialTopLevelComments.ts                                                                | TypeScript         |         54 |          0 |          6 |         60 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\hooks\useScrollToComment.ts                                                                            | TypeScript         |         23 |          1 |          3 |         27 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\hooks\useUser.ts                                                                                       | TypeScript         |         11 |          0 |          3 |         14 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\main.tsx                                                                                               | TypeScript JSX     |         15 |          0 |          3 |         18 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\About\AboutPage.styled.ts                                                                        | TypeScript         |          0 |          4 |          2 |          6 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\About\AboutPage.tsx                                                                              | TypeScript JSX     |         11 |          0 |          3 |         14 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Blog\BlogPage.styled.ts                                                                          | TypeScript         |          0 |          6 |          2 |          8 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Blog\BlogPage.tsx                                                                                | TypeScript JSX     |         10 |          0 |          3 |         13 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Blogs\BlogsPage.styled.ts                                                                        | TypeScript         |        149 |         15 |         24 |        188 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Blogs\BlogsPage.tsx                                                                              | TypeScript JSX     |        159 |          2 |         15 |        176 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Checkout\Cancel\Cancel.tsx                                                                       | TypeScript JSX     |         14 |          0 |          3 |         17 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Checkout\Checkout.styles.ts                                                                      | TypeScript         |          4 |          0 |          2 |          6 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Checkout\SubscriptionCart\SubscriptionCart.styled.ts                                             | TypeScript         |        107 |          1 |         18 |        126 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Checkout\SubscriptionCart\SubscriptionCart.tsx                                                   | TypeScript JSX     |         67 |          0 |          5 |         72 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Checkout\Success\Success.tsx                                                                     | TypeScript JSX     |         13 |          0 |          3 |         16 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Checkout\ViewCart\ViewCart.styled.ts                                                             | TypeScript         |         82 |          0 |         15 |         97 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Checkout\ViewCart\ViewCart.tsx                                                                   | TypeScript JSX     |         60 |          0 |          5 |         65 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Contact\ContactPage.styled.ts                                                                    | TypeScript         |          0 |          4 |          2 |          6 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Contact\ContactPage.tsx                                                                          | TypeScript JSX     |         11 |          0 |          2 |         13 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Home\HomePage.styled.ts                                                                          | TypeScript         |          0 |          5 |          2 |          7 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Home\HomePage.tsx                                                                                | TypeScript JSX     |         15 |          0 |          4 |         19 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Network\Network.styled.ts                                                                        | TypeScript         |         44 |          0 |          9 |         53 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Network\Network.tsx                                                                              | TypeScript JSX     |        148 |          0 |         14 |        162 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\PlansAndPricing\ConsultationForm\ConsultationForm.styled.ts                                      | TypeScript         |         97 |          0 |         13 |        110 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\PlansAndPricing\ConsultationForm\ConsultationForm.tsx                                            | TypeScript JSX     |        165 |          0 |         20 |        185 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\PlansAndPricing\PlansAndPricing.styled.ts                                                        | TypeScript         |        178 |          0 |         29 |        207 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\PlansAndPricing\PlansAndPricing.tsx                                                              | TypeScript JSX     |        194 |          0 |          9 |        203 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\PlansAndPricing\SubscriptionCard\SubscriptionCard.styled.ts                                      | TypeScript         |        196 |          0 |         23 |        219 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\PlansAndPricing\SubscriptionCard\SubscriptionCard.tsx                                            | TypeScript JSX     |         77 |          0 |          8 |         85 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\SignInRegister\SignInRegisterPage.styled.ts                                                      | TypeScript         |         11 |          0 |          2 |         13 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\SignInRegister\SignInRegisterPage.tsx                                                            | TypeScript JSX     |         15 |          0 |          3 |         18 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Tutorial\TutorialPage.styled.ts                                                                  | TypeScript         |          0 |          6 |          2 |          8 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Tutorial\TutorialPage.tsx                                                                        | TypeScript JSX     |         11 |          0 |          3 |         14 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Tutorials\TutorialsPage.styled.ts                                                                | TypeScript         |        215 |          0 |         34 |        249 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\Tutorials\TutorialsPage.tsx                                                                      | TypeScript JSX     |        253 |          1 |         24 |        278 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\CommentHistory\CommentHistory.styled.ts                                        | TypeScript         |         51 |          0 |          8 |         59 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\CommentHistory\CommentHistory.tsx                                              | TypeScript JSX     |         99 |          0 |         13 |        112 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\EditProfileModal\EditProfileModal.styled.ts                                    | TypeScript         |         79 |          0 |         11 |         90 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\EditProfileModal\EditProfileModal.tsx                                          | TypeScript JSX     |        223 |          1 |         30 |        254 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\EditProfileModal\SocialLinksEditor\SocialLinksEditor.styled.ts                 | TypeScript         |         29 |          0 |          7 |         36 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\EditProfileModal\SocialLinksEditor\SocialLinksEditor.tsx                       | TypeScript JSX     |         95 |          0 |         12 |        107 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\FavoritesSection\FavoritesSection.styled.ts                                    | TypeScript         |        138 |          0 |         22 |        160 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\FavoritesSection\FavoritesSection.tsx                                          | TypeScript JSX     |        207 |          0 |         20 |        227 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\FollowButton\FollowButton.tsx                                                  | TypeScript JSX     |         35 |          0 |          5 |         40 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\FollowList\FollowersList\FollowersList.tsx                                     | TypeScript JSX     |         88 |          0 |         13 |        101 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\FollowList\FollowingList\FollowingList.tsx                                     | TypeScript JSX     |         62 |          0 |         11 |         73 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\MessageInboxLayout\MessageInboxChatWindow\MessageInboxChatWindow.styled.ts     | TypeScript         |         92 |          0 |         10 |        102 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\MessageInboxLayout\MessageInboxChatWindow\MessageInboxChatWindow.tsx           | TypeScript JSX     |        183 |          0 |         21 |        204 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\MessageInboxLayout\MessageInboxChatWindow\SentMessages\SentMessages.styled.ts  | TypeScript         |         57 |          0 |          9 |         66 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\MessageInboxLayout\MessageInboxChatWindow\SentMessages\SentMessages.tsx        | TypeScript JSX     |         80 |          0 |         11 |         91 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\MessageInboxLayout\MessageInboxConvoHistory\MessageInboxConvoHistory.styled.ts | TypeScript         |         80 |          0 |         19 |         99 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\MessageInboxLayout\MessageInboxConvoHistory\MessageInboxConvoHistory.tsx       | TypeScript JSX     |        250 |          0 |         29 |        279 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\MessageInboxLayout\MessageInboxLayout.styled.ts                                | TypeScript         |         51 |          0 |          9 |         60 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\MessageInboxLayout\MessageInboxLayout.tsx                                      | TypeScript JSX     |         34 |          0 |          6 |         40 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\MessageInboxLayout\MessageInboxSidebar\MessageInboxSidebar.styled.ts           | TypeScript         |         16 |          0 |          4 |         20 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\MessageInboxLayout\MessageInboxSidebar\MessageInboxSidebar.tsx                 | TypeScript JSX     |         10 |          0 |          3 |         13 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\MessageInboxLayout\MessageInboxSidebar\SidebarButtons\SidebarButtons.styled.ts | TypeScript         |         43 |          0 |          9 |         52 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\MessageInboxLayout\MessageInboxSidebar\SidebarButtons\SidebarButtons.tsx       | TypeScript JSX     |         34 |          0 |          6 |         40 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\MessageUserModal\MessageUserModal.styled.ts                                    | TypeScript         |         97 |          0 |         14 |        111 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\MessageUserModal\MessageUserModal.tsx                                          | TypeScript JSX     |        121 |          2 |         17 |        140 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\PublicUserPage\PublicUserPage.styled.ts                                        | TypeScript         |          0 |          0 |          1 |          1 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\PublicUserPage\PublicUserPage.tsx                                              | TypeScript JSX     |         54 |          0 |         11 |         65 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\SocialLinksDisplay\SocialLinksDisplay.styled.ts                                | TypeScript         |          8 |          0 |          2 |         10 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\SocialLinksDisplay\SocialLinksDisplay.tsx                                      | TypeScript JSX     |         45 |          0 |          6 |         51 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\UserAccountPage\UserAccountPage.styled.ts                                      | TypeScript         |         14 |          0 |          4 |         18 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\UserAccountPage\UserAccountPage.tsx                                            | TypeScript JSX     |         73 |          0 |          7 |         80 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\UserProfile.styled.ts                                                          | TypeScript         |        267 |          1 |         42 |        310 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\pages\UserProfileLayout\UserProfile.tsx                                                                | TypeScript JSX     |        226 |          1 |         22 |        249 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\services\checkoutService.ts                                                                            | TypeScript         |         20 |          0 |          3 |         23 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\services\commentService.ts                                                                             | TypeScript         |        141 |          0 |         30 |        171 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\services\consultFormService.ts                                                                         | TypeScript         |         11 |          0 |          2 |         13 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\services\conversationService.ts                                                                        | TypeScript         |         38 |          0 |          8 |         46 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\services\favouritesService.ts                                                                          | TypeScript         |         53 |          0 |          8 |         61 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\services\followService.ts                                                                              | TypeScript         |         84 |          0 |         16 |        100 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\services\imageUploadService.ts                                                                         | TypeScript         |         12 |          0 |          3 |         15 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\services\messageService.ts                                                                             | TypeScript         |         64 |          0 |         11 |         75 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\services\networkService.ts                                                                             | TypeScript         |         21 |          0 |          3 |         24 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\services\notificationsService.ts                                                                       | TypeScript         |         21 |          0 |          5 |         26 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\services\purchasesService.ts                                                                           | TypeScript         |         16 |          0 |          4 |         20 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\services\tokenService.ts                                                                               | TypeScript         |         40 |          0 |         10 |         50 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\services\userService.ts                                                                                | TypeScript         |         45 |          0 |          9 |         54 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\Accordion.ts                                                                                     | TypeScript         |          8 |          0 |          2 |         10 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\AuthRequest.ts                                                                                   | TypeScript         |          6 |          0 |          1 |          7 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\Blog\Blog.ts                                                                                     | TypeScript         |         15 |          0 |          3 |         18 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\CartItem.ts                                                                                      | TypeScript         |         14 |          0 |          1 |         15 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\Comment\Comment.ts                                                                               | TypeScript         |         18 |          0 |          1 |         19 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\Comment\CommentProps.ts                                                                          | TypeScript         |         19 |          0 |          1 |         20 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\Comment\CommentSectionProps.ts                                                                   | TypeScript         |          6 |          0 |          1 |          7 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\Content\ContentItem.ts                                                                           | TypeScript         |          9 |          0 |          1 |         10 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\Content\ContentType.ts                                                                           | TypeScript         |          1 |          0 |          1 |          2 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\Conversations.ts                                                                                 | TypeScript         |         13 |          0 |          2 |         15 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\EditProfileProps.ts                                                                              | TypeScript         |          6 |          0 |          2 |          8 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\FavouritesButtonProps.ts                                                                         | TypeScript         |          6 |          0 |          1 |          7 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\ImageUploadResponse.ts                                                                           | TypeScript         |          5 |          0 |          1 |          6 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\LoginRequestBody.ts                                                                              | TypeScript         |          4 |          0 |          1 |          5 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\Message.ts                                                                                       | TypeScript         |          9 |          0 |          1 |         10 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\Notifications.ts                                                                                 | TypeScript         |         13 |          0 |          1 |         14 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\PublicProfileType.ts                                                                             | TypeScript         |         13 |          0 |          2 |         15 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\PurchasedItem.ts                                                                                 | TypeScript         |          9 |          0 |          1 |         10 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\SocialLinksEditorProps.ts                                                                        | TypeScript         |          5 |          0 |          1 |          6 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\TokenResponse.ts                                                                                 | TypeScript         |          7 |          0 |          1 |          8 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\Tutorial\Tutorial.ts                                                                             | TypeScript         |         17 |          0 |          3 |         20 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\User\User.ts                                                                                     | TypeScript         |         15 |          0 |          1 |         16 |
| d:\VanillaJavascript\FullstackFanatic\fullstack-fanatic-mysql\frontend\src\types\User\UserContextType.ts                                                                          | TypeScript         |         31 |          0 |          2 |         33 |
